,value_daily,value_weekly,factor,value,Open,High,Low,Close,Volume
2017-09-27,31,,0.2727272727272727,8.454545454545453,8.38,8.56,8.31,8.45,7214200
2017-09-28,32,,0.2727272727272727,8.727272727272727,8.45,8.45,8.13,8.25,6882000
2017-09-29,31,,0.2727272727272727,8.454545454545453,8.30,8.58,8.20,8.5,12582500
2017-10-02,61,,0.12244897959183673,7.469387755102041,8.50,8.79,8.50,8.67,8209700
2017-10-03,73,,0.12244897959183673,8.938775510204081,8.60,8.81,8.59,8.8,7930000
2017-10-04,65,,0.12244897959183673,7.959183673469387,8.71,8.88,8.67,8.78,6386100
2017-10-05,74,,0.12244897959183673,9.061224489795919,8.80,9.00,8.60,8.77,9437500
2017-10-06,73,,0.12244897959183673,8.938775510204081,8.66,8.70,8.51,8.57,4968500
2017-10-09,70,,0.1282051282051282,8.974358974358974,8.56,8.57,8.31,8.42,4024400
2017-10-10,74,,0.1282051282051282,9.487179487179485,8.50,8.60,8.45,8.49,5169000
2017-10-11,61,,0.1282051282051282,7.820512820512819,8.52,8.64,8.45,8.6,5643300
2017-10-13,47,,0.1282051282051282,6.0256410256410255,8.64,8.75,8.55,8.65,7206400
2017-10-16,70,,0.19444444444444445,13.61111111111111,8.66,8.73,8.52,8.55,4118700
2017-10-17,86,,0.19444444444444445,16.72222222222222,8.57,8.57,8.25,8.27,5310800
2017-10-18,100,,0.19444444444444445,19.444444444444446,8.28,8.33,7.97,8.15,10090100
2017-10-19,90,,0.19444444444444445,17.5,8.11,8.15,7.98,8.05,6891200
2017-10-20,69,,0.19444444444444445,13.416666666666666,8.00,8.05,7.91,7.95,6920600
2017-10-23,72,,0.1891891891891892,13.621621621621623,8.00,8.10,7.76,7.76,8600200
2017-10-24,77,,0.1891891891891892,14.567567567567568,7.81,7.90,7.66,7.75,10026400
2017-10-25,68,,0.1891891891891892,12.864864864864865,7.79,8.06,7.76,8.0,9521100
2017-10-26,71,,0.1891891891891892,13.432432432432433,8.06,8.16,7.67,7.67,9642700
2017-10-27,64,,0.1891891891891892,12.108108108108109,7.75,7.82,7.62,7.69,6590800
2017-10-30,65,,0.12195121951219512,7.926829268292683,7.70,7.73,7.38,7.53,9271500
2017-10-31,66,,0.12195121951219512,8.048780487804878,7.59,7.66,7.44,7.54,5591500
2017-11-01,60,,0.12195121951219512,7.317073170731707,7.63,7.67,7.44,7.44,5663200
2017-11-03,50,,0.12195121951219512,6.097560975609756,7.51,7.53,6.91,7.28,10909200
2017-11-06,68,,0.17647058823529413,12.0,7.31,7.55,7.16,7.5,6571100
2017-11-07,76,,0.17647058823529413,13.411764705882353,7.47,7.51,7.10,7.14,9187700
2017-11-08,73,,0.17647058823529413,12.882352941176471,7.14,7.60,7.07,7.56,10103800
2017-11-09,66,,0.17647058823529413,11.647058823529413,7.53,8.17,7.53,8.0,21122100
2017-11-10,69,,0.17647058823529413,12.176470588235295,8.09,8.09,7.67,7.8,11346700
2017-11-13,73,,0.1282051282051282,9.358974358974358,8.00,8.06,7.66,8.0,11494600
2017-11-14,67,,0.1282051282051282,8.58974358974359,8.35,8.49,7.79,7.79,26325500
2017-11-16,62,,0.1282051282051282,7.948717948717948,7.95,8.10,7.78,7.85,11055600
2017-11-17,45,,0.1282051282051282,5.769230769230768,7.87,7.91,7.57,7.73,8566800
2017-11-21,78,,0.21428571428571427,16.71428571428571,7.75,7.94,7.65,7.85,8658700
2017-11-22,76,,0.21428571428571427,16.285714285714285,7.81,8.02,7.81,7.92,12852600
